,Product Name,Prices,Description,Review
518,"Whirlpool 7.5 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹11,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,
519,"LG 8 kg Semi Automatic Top Load Washing Machine Grey, White","₹15,869",1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor From LG,
520,"Voltas Beko 7 kg with Fast Dry, Double Waterfall, 5 Wing Pulsator Semi Automatic Top Load Washing Mach...","₹8,990","1300 rpm Max Speed2 Years Comprehensive Warranty on Product, 5 Years Warranty on Motor",
521,"Voltas Beko 8 kg with Fast Dry, Double Waterfall, 5 Wing Pulsator, Buzzer Semi Automatic Top Load Wash...","₹10,290","1300 rpm Max Speed2 Years Comprehensive Warranty on Product, 5 Years Warranty on Motor",
522,realme TechLife 6 kg 5 Star Power Clean Fully Automatic Front Load Washing Machine with In-built Heate...,"₹18,990",1000 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from realme TechLife,
523,"LG 7 kg Semi Automatic Top Load Washing Machine White, Blue","₹13,589",1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor From LG,
524,"Whirlpool 8 kg 5 Star Magic Clean and Faster Drying Semi Automatic Top Load Washing Machine Black, Gre...","₹12,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,
525,"LG 11 kg with Roller Jet Pulsator, Soak and Smart Filter Semi Automatic Top Load Washing Machine Black","₹18,990",1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor,
526,Whirlpool 9 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹24,190",740 rpm Max Speed5 Star Rating3 Years Comprehensive Warranty on Product and 7 Years Additional Warranty on Motor and Prime Mover,
527,"SAMSUNG 7 kg 5 Star Inverter, Hygiene Steam Diamond Drum Fully Automatic Front Load Washing Machine wi...","₹28,490","1200 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",
